职位名称,公司名称,工作地点,薪资,工作经验,学历要求
python开发工程师,福建拓尔通软件有限公司,福州·闽侯·荆溪,7000-12000元·14薪,1-3年,本科
java/Python/C/C++/JS/AI算法/软件测试,外企德科数字技术有限公司,济南·历下·龙洞,2-4万·14薪,经验不限,本科
java/Python/C/C++/JS/AI算法/软件测试,外企德科数字技术有限公司,济南·历下·龙洞,2-4万·14薪,经验不限,本科
python爬虫工程师,软通动力信息技术(集团)股份有限公司,广州·天河·新塘,1-1.5万,3-5年,大专
python爬虫工程师,软通动力信息技术(集团)股份有限公司,广州·天河·新塘,1-1.5万,3-5年,大专
python软件工程师,江苏道众能源科技有限公司,连云港·海州区·新东街道,8000-10000元,3-5年,大专
python软件工程师,江苏道众能源科技有限公司,连云港·海州区·新东街道,8000-10000元,3-5年,大专
软件开发（多语言 Java Python C/C++js等测试,外企德科数字技术有限公司,上海·青浦·金泽,1.2-2.4万,经验不限,本科
软件开发（多语言 Java Python C/C++js等测试,外企德科数字技术有限公司,上海·青浦·金泽,1.2-2.4万,经验不限,本科
python自动化脚本开发,杭州星溢科技有限公司,杭州·滨江·长河,1-1.2万,1-3年,本科
python自动化脚本开发,杭州星溢科技有限公司,杭州·滨江·长河,1-1.2万,1-3年,本科
python初级开发,山东艾坦迪数智科技有限公司,烟台·蓬莱·登州,4000-6000元,1-3年,本科
python初级开发,山东艾坦迪数智科技有限公司,烟台·蓬莱·登州,4000-6000元,1-3年,本科
python后端开发工程师,外企德科数字技术有限公司,上海·浦东·金桥,1.2-2.4万,经验不限,本科
python后端开发工程师,外企德科数字技术有限公司,上海·浦东·金桥,1.2-2.4万,经验不限,本科
python逆向爬虫工程师,德科信息有限公司,深圳·南山·粤海,1.3-1.7万,3-5年,大专
python逆向爬虫工程师,德科信息有限公司,深圳·南山·粤海,1.3-1.7万,3-5年,大专
python软件工程师,南通恒康数控机械股份有限公司,南通·如皋·丁堰,8000-15000元·13薪,3-5年,本科
python软件工程师,南通恒康数控机械股份有限公司,南通·如皋·丁堰,8000-15000元·13薪,3-5年,本科
